video_id,label,start_frame,end_frame,toa,is_dada
5_72,0,1,154,-1,1
5_72,1,155,290,238,1
5_76,0,1,29,-1,1
5_76,1,30,150,90,1
5_77,0,1,126,-1,1
5_77,1,127,210,164,1
5_78,0,1,87,-1,1
5_78,1,88,210,145,1
5_79,0,1,77,-1,1
5_79,1,78,150,114,1
5_80,0,1,205,-1,1
5_80,1,206,270,238,1
5_81,0,1,19,-1,1
5_81,1,20,103,67,1
5_82,0,1,104,-1,1
5_82,1,105,170,130,1
5_83,0,1,124,-1,1
5_83,1,125,200,160,1
5_84,1,10,110,42,1
5_85,0,1,399,-1,1
5_85,1,400,520,455,1
5_86,0,1,11,-1,1
5_86,1,12,80,48,1
5_87,0,1,52,-1,1
5_87,1,53,150,113,1
5_88,0,1,29,-1,1
5_88,1,30,100,71,1
5_89,0,1,36,-1,1
5_89,1,37,98,54,1
5_90,0,1,36,-1,1
5_90,1,37,110,82,1
5_91,0,1,139,-1,1
5_91,1,140,200,162,1
5_92,0,1,85,-1,1
5_92,1,86,180,146,1
5_93,0,1,79,-1,1
5_93,1,80,150,116,1
5_95,0,1,393,-1,1
5_95,1,394,430,409,1
5_96,0,1,97,-1,1
5_96,1,98,160,120,1
5_97,0,1,118,-1,1
5_97,1,119,192,146,1
5_98,0,1,241,-1,1
5_98,1,242,330,296,1
5_100,0,1,255,-1,1
5_100,1,256,308,274,1
5_103,0,1,109,-1,1
5_103,1,110,220,184,1
5_104,0,1,143,-1,1
5_104,1,144,250,215,1
5_106,0,1,126,-1,1
5_106,1,127,214,163,1
5_107,0,1,21,-1,1
5_107,1,22,65,44,1
5_108,0,1,119,-1,1
5_108,1,120,190,166,1
5_110,0,1,99,-1,1
5_110,1,100,173,127,1
5_111,0,1,141,-1,1
5_111,1,142,233,210,1
5_112,0,1,157,-1,1
5_112,1,158,210,195,1
5_115,0,1,134,-1,1
5_115,1,135,250,187,1
5_120,0,1,145,-1,1
5_120,1,146,260,208,1
5_121,0,1,144,-1,1
5_121,1,145,208,168,1
5_122,0,1,229,-1,1
5_122,1,230,330,285,1
5_123,0,1,63,-1,1
5_123,1,64,170,123,1
5_124,0,1,246,-1,1
5_124,1,247,300,264,1
5_126,0,1,109,-1,1
5_126,1,110,190,150,1
5_128,0,1,143,-1,1
5_128,1,144,210,177,1
5_129,0,1,183,-1,1
5_129,1,184,250,212,1
5_130,1,1,60,32,1
5_131,0,1,266,-1,1
5_131,1,267,350,310,1
5_132,0,1,161,-1,1
5_132,1,162,250,220,1
5_133,0,1,79,-1,1
5_133,1,80,170,135,1
5_134,0,1,192,-1,1
5_134,1,193,260,217,1
5_135,0,1,89,-1,1
5_135,1,90,170,135,1
5_139,0,1,113,-1,1
5_139,1,114,180,148,1
5_140,0,1,85,-1,1
5_140,1,86,190,150,1
5_141,0,1,132,-1,1
5_141,1,133,200,164,1
5_142,0,1,234,-1,1
5_142,1,235,315,265,1
5_143,0,1,352,-1,1
5_143,1,353,540,416,1
5_145,0,1,286,-1,1
5_145,1,287,370,323,1
5_149,1,1,96,55,1
5_150,0,1,121,-1,1
5_150,1,122,185,152,1
5_151,0,1,89,-1,1
5_151,1,90,130,113,1
5_152,0,1,182,-1,1
5_152,1,183,250,208,1
5_153,0,1,174,-1,1
5_153,1,175,233,200,1
5_154,0,1,46,-1,1
5_154,1,47,125,92,1
5_155,1,1,90,55,1
5_156,0,1,49,-1,1
5_156,1,50,150,113,1
5_157,0,1,34,-1,1
5_157,1,35,100,67,1
6_1,0,1,163,-1,1
6_1,1,164,226,202,1
6_2,0,1,101,-1,1
6_2,1,102,260,160,1
6_3,0,1,163,-1,1
6_3,1,164,280,230,1
6_5,0,1,224,-1,1
6_5,1,225,280,243,1
6_6,0,1,338,-1,1
6_6,1,339,457,441,1
6_7,0,1,72,-1,1
6_7,1,73,145,124,1
6_8,0,1,72,-1,1
6_8,1,73,170,130,1
6_9,0,1,159,-1,1
6_9,1,160,210,180,1
6_11,0,1,39,-1,1
6_11,1,40,105,80,1
6_12,0,1,197,-1,1
6_12,1,198,290,246,1
6_14,0,1,136,-1,1
6_14,1,137,207,179,1
6_16,0,1,279,-1,1
6_16,1,280,370,335,1
6_18,0,1,132,-1,1
6_18,1,133,200,180,1
6_20,0,1,255,-1,1
6_20,1,256,330,290,1
6_21,0,1,279,-1,1
6_21,1,280,370,318,1
6_22,0,1,129,-1,1
6_22,1,130,240,172,1
6_23,1,1,120,72,1
6_27,0,1,209,-1,1
6_27,1,210,300,242,1
6_28,0,1,396,-1,1
6_28,1,397,490,446,1
6_29,0,1,177,-1,1
6_29,1,178,240,195,1
6_30,0,1,29,-1,1
6_30,1,30,110,67,1
6_34,0,1,359,-1,1
6_34,1,360,430,398,1
6_35,0,1,199,-1,1
6_35,1,200,248,227,1
6_38,0,1,239,-1,1
6_38,1,240,320,275,1
6_39,0,1,159,-1,1
6_39,1,160,270,222,1
6_41,0,1,179,-1,1
6_41,1,180,260,215,1
6_42,0,1,63,-1,1
6_42,1,64,100,72,1
6_43,0,1,199,-1,1
6_43,1,200,260,236,1
6_45,0,1,39,-1,1
6_45,1,40,136,94,1
6_46,0,1,147,-1,1
6_46,1,148,220,178,1
6_47,0,1,199,-1,1
6_47,1,200,350,284,1
6_48,0,1,117,-1,1
6_48,1,118,210,180,1
6_50,0,1,299,-1,1
6_50,1,300,400,353,1
6_51,0,1,49,-1,1
6_51,1,50,184,142,1
6_52,0,1,152,-1,1
6_52,1,153,246,188,1
6_53,0,1,69,-1,1
6_53,1,70,180,132,1
6_54,0,1,103,-1,1
6_54,1,104,180,128,1
6_55,0,1,29,-1,1
6_55,1,30,100,61,1
6_58,1,1,112,54,1
6_59,0,1,29,-1,1
6_59,1,30,100,56,1
6_60,0,1,364,-1,1
6_60,1,365,440,410,1
6_62,1,5,90,37,1
6_63,0,1,88,-1,1
6_63,1,89,190,139,1
6_64,0,1,63,-1,1
6_64,1,64,130,94,1
6_65,0,1,76,-1,1
6_65,1,77,130,95,1
6_66,0,1,229,-1,1
6_66,1,230,300,260,1
6_67,0,1,196,-1,1
6_67,1,197,256,233,1
6_68,0,1,146,-1,1
6_68,1,147,270,212,1
6_69,0,1,69,-1,1
6_69,1,70,180,142,1
6_70,0,1,98,-1,1
6_70,1,99,199,137,1
6_71,0,1,395,-1,1
6_71,1,396,472,430,1
6_73,0,1,69,-1,1
6_73,1,70,130,102,1
6_74,0,1,59,-1,1
6_74,1,60,110,84,1
6_75,0,1,79,-1,1
6_75,1,80,190,148,1
6_76,0,1,359,-1,1
6_76,1,360,488,460,1
6_77,0,1,119,-1,1
6_77,1,120,200,165,1
6_78,1,10,90,46,1
6_79,0,1,43,-1,1
6_79,1,44,140,78,1
6_80,0,1,129,-1,1
6_80,1,130,200,154,1
6_81,1,10,105,61,1
6_82,0,1,157,-1,1
6_82,1,158,253,193,1
6_83,0,1,139,-1,1
6_83,1,140,235,198,1
6_85,0,1,109,-1,1
6_85,1,110,170,133,1
6_87,0,1,149,-1,1
6_87,1,150,240,210,1
6_88,1,1,140,74,1
6_89,0,1,79,-1,1
6_89,1,80,150,118,1
6_90,0,1,22,-1,1
6_90,1,23,110,73,1
6_91,0,1,99,-1,1
6_91,1,100,240,193,1
6_92,0,1,279,-1,1
6_92,1,280,390,338,1
6_94,0,1,139,-1,1
6_94,1,140,200,173,1
6_98,0,1,49,-1,1
6_98,1,50,150,105,1
6_99,0,1,19,-1,1
6_99,1,20,110,66,1
6_101,0,1,149,-1,1
6_101,1,150,260,224,1
6_102,0,1,69,-1,1
6_102,1,70,160,114,1
6_103,0,1,215,-1,1
6_103,1,216,300,248,1
6_104,0,1,129,-1,1
6_104,1,130,210,180,1
6_105,0,1,104,-1,1
6_105,1,105,180,142,1
6_106,0,1,142,-1,1
6_106,1,143,230,206,1
6_108,0,1,159,-1,1
6_108,1,160,300,236,1
6_109,0,1,94,-1,1
6_109,1,95,200,159,1
6_110,0,1,129,-1,1
6_110,1,130,240,200,1
6_111,0,1,339,-1,1
6_111,1,340,412,375,1
6_112,0,1,311,-1,1
6_112,1,312,370,345,1
6_115,0,1,245,-1,1
6_115,1,246,350,303,1
6_116,0,1,49,-1,1
6_116,1,50,140,92,1
6_118,0,1,149,-1,1
6_118,1,150,250,205,1
7_2,0,1,29,-1,1
7_2,1,30,130,69,1
7_3,0,1,229,-1,1
7_3,1,230,310,264,1
7_4,0,1,169,-1,1
7_4,1,170,280,230,1
7_5,0,1,139,-1,1
7_5,1,140,220,185,1
7_6,0,1,389,-1,1
7_6,1,390,466,430,1
7_7,0,1,139,-1,1
7_7,1,140,250,226,1
7_8,0,1,169,-1,1
7_8,1,170,250,198,1
7_9,1,1,100,50,1
7_11,0,1,19,-1,1
7_11,1,20,120,68,1
7_12,0,1,29,-1,1
7_12,1,30,130,99,1
8_1,0,1,99,-1,1
8_1,1,100,200,162,1
8_2,0,1,89,-1,1
8_2,1,90,150,106,1
8_3,0,1,299,-1,1
8_3,1,300,430,394,1
8_4,0,1,129,-1,1
8_4,1,130,210,186,1
8_5,0,1,187,-1,1
8_5,1,188,260,228,1
8_7,0,1,199,-1,1
8_7,1,200,260,220,1
8_9,0,1,199,-1,1
8_9,1,200,280,258,1
8_11,0,1,14,-1,1
8_11,1,15,111,110,1
8_12,1,1,80,30,1
8_13,0,1,169,-1,1
8_13,1,170,250,214,1
8_17,0,1,99,-1,1
8_17,1,100,250,153,1
8_18,0,1,65,-1,1
8_18,1,66,170,120,1
8_20,0,1,159,-1,1
8_20,1,160,230,207,1
8_21,0,1,79,-1,1
8_21,1,80,170,110,1
8_22,0,1,24,-1,1
8_22,1,25,95,61,1
8_23,0,1,99,-1,1
8_23,1,100,240,179,1
8_24,0,1,143,-1,1
8_24,1,144,220,182,1
8_25,0,1,109,-1,1
8_25,1,110,190,158,1
8_26,1,1,170,83,1
8_27,0,1,29,-1,1
8_27,1,30,130,85,1
8_31,0,1,99,-1,1
8_31,1,100,240,205,1
8_32,0,1,199,-1,1
8_32,1,200,340,285,1
8_33,0,1,14,-1,1
8_33,1,15,80,43,1
8_34,0,1,340,-1,1
8_35,1,1,110,43,1
8_37,0,1,289,-1,1
8_37,1,290,380,345,1
8_38,0,1,449,-1,1
8_38,1,450,630,582,1
8_39,0,1,219,-1,1
8_39,1,220,270,245,1
8_40,0,1,280,-1,1
8_42,0,1,79,-1,1
8_42,1,80,190,148,1
8_44,0,1,119,-1,1
8_44,1,120,220,166,1
8_45,0,1,219,-1,1
8_45,1,220,290,262,1
8_46,0,1,99,-1,1
8_46,1,100,350,176,1
8_48,0,1,89,-1,1
8_48,1,90,190,147,1
8_49,1,1,150,62,1
8_50,0,1,29,-1,1
8_50,1,30,120,78,1
8_51,0,1,199,-1,1
8_51,1,200,280,260,1
8_52,0,1,99,-1,1
8_52,1,100,250,140,1
8_53,0,1,149,-1,1
8_53,1,150,310,222,1
8_54,0,1,119,-1,1
8_54,1,120,230,178,1
8_55,0,1,299,-1,1
8_55,1,300,470,400,1
8_56,0,1,149,-1,1
8_56,1,150,330,202,1
8_57,0,1,429,-1,1
8_57,1,430,490,458,1
9_1,0,1,84,-1,1
9_1,1,85,200,123,1
9_2,0,1,74,-1,1
9_2,1,75,200,145,1
9_4,0,1,119,-1,1
9_4,1,120,220,178,1
9_5,0,1,319,-1,1
9_5,1,320,418,380,1
9_6,0,1,149,-1,1
9_6,1,150,260,190,1
9_7,0,1,249,-1,1
9_7,1,250,330,295,1
9_10,0,1,119,-1,1
9_10,1,120,240,178,1
9_11,0,1,159,-1,1
9_11,1,160,280,230,1
9_12,0,1,229,-1,1
9_12,1,230,330,308,1
9_13,0,1,199,-1,1
9_13,1,200,320,253,1
9_14,0,1,69,-1,1
9_14,1,70,220,100,1
9_16,0,1,99,-1,1
9_16,1,100,230,140,1
9_17,0,1,249,-1,1
9_17,1,250,350,292,1
9_18,0,1,179,-1,1
9_18,1,180,260,218,1
9_19,0,1,74,-1,1
9_19,1,75,160,122,1
9_20,0,1,129,-1,1
9_20,1,130,300,220,1
10_2,0,1,129,-1,1
10_2,1,130,300,244,1
10_3,0,1,79,-1,1
10_3,1,80,160,125,1
10_4,0,1,129,-1,1
10_4,1,130,230,170,1
10_7,0,1,219,-1,1
10_7,1,220,310,270,1
10_8,0,1,139,-1,1
10_8,1,140,270,215,1
10_9,0,1,79,-1,1
10_9,1,80,210,168,1
10_10,0,1,339,-1,1
10_10,1,340,395,393,1
10_11,0,1,179,-1,1
10_11,1,180,250,228,1
10_12,0,1,129,-1,1
10_12,1,130,200,170,1
10_14,0,1,344,-1,1
10_14,1,345,402,389,1
10_15,0,1,59,-1,1
10_15,1,60,71,70,1
10_16,0,1,319,-1,1
10_16,1,320,430,408,1
10_17,0,1,209,-1,1
10_17,1,210,300,248,1
10_18,0,1,259,-1,1
10_18,1,260,312,310,1
10_19,0,1,464,-1,1
10_19,1,465,500,478,1
10_20,0,1,169,-1,1
10_20,1,170,250,225,1
10_21,0,1,97,-1,1
10_21,1,98,190,136,1
10_23,0,1,239,-1,1
10_23,1,240,365,321,1
10_24,0,1,149,-1,1
10_24,1,150,220,186,1
10_25,0,1,359,-1,1
10_25,1,360,460,426,1
10_26,0,1,199,-1,1
10_26,1,200,320,267,1
10_27,0,1,254,-1,1
10_27,1,255,340,285,1
10_30,0,1,387,-1,1
10_30,1,388,490,450,1
10_31,0,1,199,-1,1
10_31,1,200,350,296,1
10_32,0,1,152,-1,1
10_32,1,153,247,196,1
10_33,0,1,219,-1,1
10_33,1,220,320,274,1
10_34,0,1,349,-1,1
10_34,1,350,413,412,1
10_36,0,1,273,-1,1
10_36,1,274,330,306,1
10_37,0,1,219,-1,1
10_37,1,220,320,285,1
10_38,0,1,410,-1,1
10_40,0,1,159,-1,1
10_40,1,160,250,208,1
10_41,0,1,309,-1,1
10_41,1,310,400,363,1
10_42,0,1,199,-1,1
10_42,1,200,316,254,1
10_43,0,1,39,-1,1
10_43,1,40,200,148,1
10_44,0,1,299,-1,1
10_44,1,300,420,374,1
10_45,0,1,199,-1,1
10_45,1,200,273,237,1
10_46,0,1,174,-1,1
10_46,1,175,305,260,1
10_47,0,1,209,-1,1
10_47,1,210,310,260,1
10_48,0,1,172,-1,1
10_48,1,173,270,220,1
10_50,0,1,159,-1,1
10_50,1,160,275,242,1
10_52,0,1,159,-1,1
10_52,1,160,234,190,1
10_53,0,1,249,-1,1
10_53,1,250,380,332,1
10_54,0,1,299,-1,1
10_54,1,300,390,360,1
10_55,0,1,54,-1,1
10_55,1,55,106,82,1
10_56,0,1,209,-1,1
10_56,1,210,315,278,1
10_57,0,1,99,-1,1
10_57,1,100,232,172,1
10_58,0,1,373,-1,1
10_58,1,374,443,406,1
10_60,0,1,372,-1,1
10_60,1,373,450,403,1
10_62,0,1,228,-1,1
10_62,1,229,333,275,1
10_63,0,1,156,-1,1
10_63,1,157,266,208,1
10_64,0,1,377,-1,1
10_64,1,378,443,410,1
10_66,0,1,119,-1,1
10_66,1,120,210,178,1
10_67,0,1,212,-1,1
10_67,1,213,280,246,1
10_68,0,1,149,-1,1
10_68,1,150,260,218,1
10_72,0,1,49,-1,1
10_72,1,50,143,105,1
10_75,0,1,166,-1,1
10_75,1,167,283,211,1
10_76,0,1,29,-1,1
10_76,1,30,143,112,1
10_78,0,1,83,-1,1
10_78,1,84,160,118,1
10_79,0,1,307,-1,1
10_79,1,308,411,409,1
10_80,0,1,140,-1,1
10_80,1,141,203,170,1
10_81,0,1,98,-1,1
10_81,1,99,150,130,1
10_82,0,1,17,-1,1
10_82,1,18,88,56,1
10_83,0,1,167,-1,1
10_83,1,168,253,215,1
10_86,0,1,27,-1,1
10_86,1,28,138,102,1
10_88,0,1,159,-1,1
10_88,1,160,272,220,1
10_90,0,1,57,-1,1
10_90,1,58,142,117,1
10_91,0,1,81,-1,1
10_91,1,82,183,137,1
10_92,0,1,201,-1,1
10_92,1,202,284,246,1
10_94,0,1,72,-1,1
10_94,1,73,154,119,1
10_95,0,1,157,-1,1
10_95,1,158,220,202,1
10_96,1,1,107,48,1
10_98,0,1,42,-1,1
10_98,1,43,146,88,1
10_99,0,1,203,-1,1
10_99,1,204,283,248,1
10_100,0,1,191,-1,1
10_100,1,192,232,231,1
10_102,0,1,25,-1,1
10_102,1,26,124,80,1
10_103,0,1,126,-1,1
10_103,1,127,203,159,1
10_104,0,1,32,-1,1
10_104,1,33,233,115,1
10_107,0,1,226,-1,1
10_107,1,227,303,268,1
10_110,0,1,154,-1,1
10_110,1,155,207,165,1
10_111,0,1,26,-1,1
10_111,1,27,125,63,1
10_112,0,1,209,-1,1
10_112,1,210,314,238,1
10_113,0,1,99,-1,1
10_113,1,100,230,186,1
10_114,0,1,161,-1,1
10_114,1,162,266,212,1
10_115,0,1,32,-1,1
10_115,1,33,97,60,1
10_116,0,1,415,-1,1
10_116,1,416,496,470,1
10_117,0,1,152,-1,1
10_117,1,153,207,188,1
10_119,0,1,69,-1,1
10_119,1,70,141,105,1
10_122,0,1,156,-1,1
10_122,1,157,211,191,1
10_125,0,1,276,-1,1
10_125,1,277,385,343,1
10_126,0,1,135,-1,1
10_126,1,136,198,166,1
10_127,0,1,84,-1,1
10_127,1,85,187,132,1
10_128,0,1,126,-1,1
10_128,1,127,195,167,1
10_131,0,1,309,-1,1
10_131,1,310,417,376,1
10_133,0,1,22,-1,1
10_133,1,23,115,75,1
10_134,0,1,119,-1,1
10_134,1,120,286,244,1
10_135,0,1,118,-1,1
10_135,1,119,206,156,1
10_137,0,1,103,-1,1
10_137,1,104,202,162,1
10_138,1,1,95,55,1
10_139,0,1,142,-1,1
10_139,1,143,262,198,1
10_140,0,1,101,-1,1
10_140,1,102,176,134,1
10_141,0,1,212,-1,1
10_141,1,213,279,239,1
10_143,0,1,317,-1,1
10_143,1,318,397,352,1
10_144,1,1,78,34,1
10_145,0,1,52,-1,1
10_145,1,53,115,83,1
10_147,0,1,59,-1,1
10_147,1,60,158,120,1
10_148,1,1,123,41,1
10_150,0,1,194,-1,1
10_150,1,195,272,220,1
10_151,0,1,114,-1,1
10_151,1,115,197,156,1
10_152,0,1,283,-1,1
10_152,1,284,394,358,1
10_153,1,1,165,111,1
10_154,0,1,244,-1,1
10_154,1,245,330,305,1
10_156,0,1,174,-1,1
10_156,1,175,256,213,1
10_157,0,1,382,-1,1
10_157,1,383,522,464,1
10_158,0,1,137,-1,1
10_158,1,138,220,188,1
10_160,0,1,76,-1,1
10_160,1,77,187,135,1
10_163,0,1,19,-1,1
10_163,1,20,163,106,1
10_165,0,1,349,-1,1
10_165,1,350,460,425,1
10_166,0,1,38,-1,1
10_166,1,39,151,73,1
10_167,0,1,187,-1,1
10_167,1,188,279,216,1
10_168,0,1,112,-1,1
10_168,1,113,230,185,1
10_170,0,1,89,-1,1
10_170,1,90,170,138,1
11_1,0,1,70,-1,1
11_1,1,71,165,123,1
11_2,0,1,169,-1,1
11_2,1,170,278,246,1
11_3,0,1,322,-1,1
11_3,1,323,439,405,1
11_4,0,1,99,-1,1
11_4,1,100,175,120,1
11_5,0,1,79,-1,1
11_5,1,80,225,143,1
11_6,0,1,281,-1,1
11_6,1,282,340,326,1
11_7,0,1,179,-1,1
11_7,1,180,371,277,1
11_13,1,1,133,45,1
11_16,0,1,243,-1,1
11_16,1,244,356,318,1
11_17,0,1,101,-1,1
11_17,1,102,252,170,1
11_19,0,1,320,-1,1
11_19,1,321,424,377,1
11_20,0,1,14,-1,1
11_20,1,15,99,61,1
11_21,0,1,151,-1,1
11_21,1,152,304,198,1
11_22,0,1,382,-1,1
11_22,1,383,429,406,1
11_23,0,1,279,-1,1
11_23,1,280,360,336,1
11_24,0,1,144,-1,1
11_24,1,145,320,225,1
11_27,0,1,120,-1,1
11_27,1,121,232,185,1
11_28,0,1,245,-1,1
11_28,1,246,320,280,1
11_29,0,1,72,-1,1
11_29,1,73,163,119,1
11_30,0,1,60,-1,1
11_30,1,61,188,134,1
11_31,0,1,255,-1,1
11_31,1,256,357,325,1
11_32,0,1,275,-1,1
11_32,1,276,399,369,1
11_33,0,1,282,-1,1
11_33,1,283,347,313,1
11_34,0,1,253,-1,1
11_34,1,254,351,299,1
11_35,0,1,164,-1,1
11_35,1,165,274,238,1
11_36,0,1,114,-1,1
11_36,1,115,208,164,1
11_37,0,1,164,-1,1
11_37,1,165,270,209,1
11_38,0,1,322,-1,1
11_38,1,323,382,356,1
11_42,0,1,29,-1,1
11_42,1,30,127,57,1
11_44,0,1,362,-1,1
11_44,1,363,443,403,1
11_45,0,1,42,-1,1
11_45,1,43,115,87,1
11_48,0,1,219,-1,1
11_48,1,220,320,290,1
11_50,0,1,232,-1,1
11_50,1,233,350,308,1
11_52,0,1,137,-1,1
11_52,1,138,208,182,1
11_53,0,1,30,-1,1
11_53,1,31,102,66,1
11_55,0,1,124,-1,1
11_55,1,125,280,262,1
11_56,0,1,120,-1,1
11_56,1,121,213,177,1
11_57,0,1,175,-1,1
11_57,1,176,248,203,1
11_58,0,1,168,-1,1
11_59,0,1,142,-1,1
11_59,1,143,237,191,1
11_60,0,1,102,-1,1
11_60,1,103,150,129,1
11_61,0,1,79,-1,1
11_61,1,80,180,125,1
11_62,0,1,79,-1,1
11_62,1,80,195,132,1
11_63,0,1,316,-1,1
11_63,1,317,412,381,1
11_64,0,1,440,-1,1
11_70,0,1,419,-1,1
11_70,1,420,530,470,1
11_71,0,1,209,-1,1
11_71,1,210,285,248,1
11_73,0,1,29,-1,1
11_73,1,30,140,112,1
